>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=79, Height=63}
Originator:entrance_30aug.Project 2011-08-30 16:12:36.Run 18:57:36.Vector Masking
CameraInfo:NanoSense.0
TimeStamp:0.0475
>>*DATA*<<
x	y	x (pix)[pix]	y (pix)[pix]	x (mm)[mm]	y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	Length[m/s]	Status
11	0	191.5	15.5	2.298	0.186	-0.00913210518168247	-0.0653315813300045	-4.38341048720758E-05	-0.000313591590384021	0.000316640354834181	17
12	0	207.5	15.5	2.49	0.186	-0.00552984526317838	-0.0499823030016463	-2.65432572632562E-05	-0.000239915054407902	0.000241378909264438	17
13	0	223.5	15.5	2.682	0.186	-0.00192758496571817	-0.0346330246732881	-9.25240783544723E-06	-0.000166238518431783	0.000166495801932504	17
14	0	239.5	15.5	2.874	0.186	0.00167467514226397	-0.0192837463449299	8.03844068286708E-06	-9.25619824556634E-05	9.29103714594582E-05	17
15	0	255.5	15.5	3.066	0.186	0.00527693525024612	-0.00393446725865942	2.53292892011814E-05	-1.88854428415652E-05	3.15948230373128E-05	17
16	0	271.5	15.5	3.258	0.186	0.00395770143768459	-0.000736769768157804	1.8996966900886E-05	-3.53649488715746E-06	1.93233420380702E-05	17
17	0	287.5	15.5	3.45	0.186	0.00263846762512306	0.00246092781708285	1.26646446005907E-05	1.18124535219977E-05	1.73184087337326E-05	17
18	0	303.5	15.5	3.642	0.186	0.00131923381256153	0.00565862554443205	6.33232230029535E-06	2.71614026132738E-05	2.78897848259031E-05	17
19	0	319.5	15.5	3.834	0.186	-4.25673810074944E-11	0.00885632289282512	-2.04323428835973E-13	4.25103498855606E-05	4.25103498855606E-05	17
20	0	335.5	15.5	4.026	0.186	-0.000533428092416201	-0.017800230125431	-2.56045484359777E-06	-8.54411046020687E-05	8.54794611858764E-05	17
21	0	351.5	15.5	4.218	0.186	2.95696861816787E-09	0.0112427642307011	1.41934493672058E-11	5.39652683073655E-05	5.39652683073673E-05	17
22	0	367.5	15.5	4.41	0.186	2.95696861816787E-09	0.0112427642307011	1.41934493672058E-11	5.39652683073655E-05	5.39652683073673E-05	1
23	0	383.5	15.5	4.602	0.186	0.000977462661921891	-0.053859882124622	4.69182077722508E-06	-0.000258527434198186	0.000258570004863872	1
24	0	399.5	15.5	4.794	0.186	0.00205151233482563	-0.117453649484863	9.84725920716301E-06	-0.000563777517527342	0.000563863509887974	0
25	0	415.5	15.5	4.986	0.186	0.0323673043567396	-0.206291224458255	0.00015536306091235	-0.000990197877399623	0.00100231208568129	16
26	0	431.5	15.5	5.178	0.186	0.0817856198409572	-0.394419694202952	0.000392570975236595	-0.00189321453217417	0.00193348732487019	16
27	0	447.5	15.5	5.37	0.186	0.100888143303261	-0.493710588974257	0.000484263087855652	-0.00236981082707644	0.00241878359808979	16
28	0	463.5	15.5	5.562	0.186	0.0567969254916534	-0.457617328114187	0.000272625242359936	-0.0021965631749481	0.00221341688443679	0
29	0	479.5	15.5	5.754	0.186	0.0386127297247185	-0.34599115679157	0.000185341102678649	-0.00166075755259953	0.00167106761468785	16
30	0	495.5	15.5	5.946	0.186	0.0241016490084197	-0.209340675307127	0.000115687915240414	-0.00100483524147421	0.00101147296367289	16
31	0	511.5	15.5	6.138	0.186	-0.0195362554222811	-0.0971592695956739	-9.37740260269493E-05	-0.000466364494059235	0.000475698864068887	0
32	0	527.5	15.5	6.33	0.186	0.00822022760379089	-0.0193850956343845	3.94570924981963E-05	-9.30484590450457E-05	0.000101068679021093	17
